Country,City,Code
 Denmark ,Aalborg,AAL
 Norway ,Aalesund,AES
 Denmark - Bus service ,Aarhus,ZID
 Denmark - Tirstrup ,Aarhus,AAR
 Greenland ,Aasiaat,JEG
 Iran ,Abadan,ABD
 Russia ,Abakan,ABA
 BC ,Abbotsford,YXX
 SD ,Aberdeen,ABR
 United Kingdom ,Aberdeen,ABZ
 Saudi Arabia ,Abha,AHB
 Cote d'Ivoire ,Abidjan,ABJ
 TX ,Abilene,ABI
 United Arab Emirates ,Abu Dhabi,AUH
 Egypt ,Abu Simbel,ABS
 Nigeria ,Abuja,ABV
 Mexico ,Acapulco,ACA
 Venezuela ,Acarigua,AGV
 Ghana ,Accra,ACC
 AK ,Adak Island,ADK
 Turkey ,Adana,ADA
 Ethopia ,Addis Ababa,ADD
 Australia ,Adelaide,ADL
 Yemen ,Aden,ADE
 Russia ,Adler/Sochi,AER
 Algeria ,Adrar,AZR
 Soloman Islands ,Afutara,AFT
 Morocco ,Agadir,AGA
 India ,Agartala,IXA
 Papua New Guinea ,Agaun,AUP
 France ,Agen,AGF
 India ,Agra,AGR
 Turkey ,Agri,AJI
 Puerto Rico ,Aguadilla,BQN
 Mexico ,Aguascalientes,AGU
 Japan ,Aguni,AGJ
 India ,Ahmedabad,AMD
 Iran ,Ahwaz,AWZ
 Marshall Islands ,Ailuk Island,AIM
 Mauritania ,Aioun El Atrouss,AEO
 Marshall Islands ,Airok,AIC
 Cook Islands ,Aitutaki,AIT
 India ,Aizawl,AJL
 France ,Ajaccio,AJA
 AK ,Akiachak,KKI
 AK ,Akiak,AKI
 Japan ,Akita,AXT
 OH ,Akron/Canton,CAK
 China ,Aksu,AKU
 Kazakhstan ,Aktyubinsk,AKX
 QC ,Akulivik,AKV
 Iceland ,Akureyri,AEY
 AK ,Akuton,KQA
 United Arab Emirates ,Al Ain,AAN
 Egypt ,Al Arish,AAC
 Yemen ,Al Ghaydah,AAY
 Morocco ,Al Hoceima,AHU
 AK ,Alakanuk,AUK
 NM ,Alamogordo,ALM
 CO ,Alamosa,ALS
 Saudi Arabia ,Al-Baha,ABT
 NY ,Albany,ALB
 OR - Bus service ,Albany,CVO
 OR - Bus service ,Albany,QWY
 NM ,Albuquerque,ABQ
 Australia ,Albury,ABX
 United Kingdom ,Alderney,ACI
 ON - Rail service ,Aldershot,XLY
 AK ,Aleknagik,WKK
 Syrian Arab Republic ,Aleppo,ALP
 South Africa ,Alexander Bay,ALJ
 Egypt ,Alexandria,ALY
 LA ,Alexandria,AEX
ON - Rail service ,Alexandria,XFS
 Greece ,Alexandroupolis,AXD
 United Arab Emirates ,Al-Fujairah,FJR
 Italy ,Alghero,AHO
 Algeria ,Algiers,ALG
 Spain ,Alicante,ALC
 Australia ,Alice Springs,ASP
 AK ,Allakaket,AET
 PA ,Allentown,ABE
 NE ,Alliance,AIA
 QC ,Alma,YTF
 Kazakhstan ,Almaty,AKX
 Spain ,Almeria,LEI
 Indonesia ,Alor Island,ARD
 Malaysia ,Alorsetar,AOR
 Papua New Guinea ,Alotau,GUR
 MI ,Alpena,APN
 Norway ,Alta,ALF
 Brazil ,Altamira,ATM
 China ,Altay,AAT
 Switzerland ,Altenrhein,ACH
 Argentina ,Alto Rio Senguerr,ARR
 PA ,Altoona,AOO
 Japan ,Amami O Shima,ASJ
 TX ,Amarillo,AMA
 Papua New Guinea ,Amazon Bay,AZB
 Madagascar ,Ambanja,IVA
 Madagascar ,Ambatomainty,AMY
 Madagascar ,Ambatondrazaka,WAM
 AK ,Ambler,ABL
 Indonesia ,Ambon,AMQ
 Kenya ,Amboseli,ASV
 Russia ,Amderma,AMV
 Jordan - Civil/Marka Airport ,Amman,ADJ
 Jordan - Queen Alia International ,Amman,AMM
 India ,Amritsar,ATQ
 Netherlands ,Amsterdam,AMS
 Russia ,Anadyr,DYR
 BC ,Anahim Lake,YAA
 AK ,Anaktueuk,AKP
 Madagascar ,Analalava,HVA
 Russia ,Anapa,AAQ
 AK ,Anchorage,ANC
 Italy ,Ancona,AOI
 Norway ,Andenes,ANX
 Uzbekistan ,Andizhan,AZN
 Vanuatu ,Aneityum,AUY
 Sweden ,Angelholm/Helsingborg,JHE
 France - Marce ,Angers,ANE
 France - Rail service ,Angers,QXG
 Indonesia ,Anggi,AGD
 China ,Anging,AQG
 ON ,Angling Lake,YAX
 AK ,Angoon,AGN
 France ,Angouleme,ANG
 Anguilla ,Anguilla,AXA
 AK ,Aniak,ANI
 Vanuatu ,Aniwa,AWD
 China ,Ankang,AKA
 Turkey - Esenboga ,Ankara,ESB
 Turkey - Etimesqut ,Ankara,ANK
 Madagascar ,Ankavandra,JVA
 Algeria ,Annaba,AAE
 France ,Annecy,NCY
 Madagascar ,Antalaha,ANM
 Turkey ,Antalya,AYT
 Madgascar ,Antaninvarivo,TNR
 Antigua and Barbuda ,Antigua,ANU
 Chile ,Antofagasta,ANF
 Madagascar ,Antsalova,WAQ
 Madagascar ,Antsiranana,DIE
 Madagascar ,Antsohihy,WAI
 Belgium - Bus service ,Antwerp,ZAY
 Belgium - Deurne Airport ,Antwerp,ANR
 AK ,Anvik,ANV
 Japan ,Aomori,AOJ
 Italy ,Aosta,AOT
 Colombia ,Apartado,APO
 Western Samoa ,Apia,APW
 Western Samoa ,Apia,FGI
 WI ,Appleton,ATW
 Jordan ,Aqaba,AQJ
 Brazil ,Araca,AJU
 Brazil ,Aracatuba,ARU
 Romania ,Arad,ARW
 Papua New Guinea ,Aragip,ARP
 Brazil ,Araguaina,AUX
 Brazil ,Arapoti,AAG
 Saudi Arabia ,Arar,RAE
 Colombia ,Arauca,AUC
 Ethiopia ,Arba Mintch,AMH
 CA ,Arcata,ACV
 NU ,Arctic Bay,YAB
 AK ,Arctic Village,ARC
 Iran ,Ardabil,ADU
 Peru ,Arequipa,AQP
 Sweden ,Argelholm/Helsingborg,AGH
 Australia ,Argyle,GYL
 Chile ,Arica,ARI
 Russia ,Arkangelsk,ARH
 Colombia ,Armenia,AXM
 Australia ,Armidale,ARM
 Bahamas ,Arthur's Town,ATC
 Uganda ,Arua,RUA
 Aruba ,Aruba,AUA
 Tanzania ,Arusha,ARK
 NU ,Arviat,YEK
 Sweden ,Arvidsjaur,AJR
 Japan ,Asahikawa,AKJ
 NC ,Asheville,AVL
 Turkmenistan ,Ashgabat,ASB
 KY/Huntington,Ashland,HTS
 Eritrea ,Asmara,ASM
 Ethopia ,Asosa,ASO
 CO ,Aspen,ASE
 Egypt ,Assiut,ATZ
 Kazakhstan ,Astana,TSE
 Russia ,Astrakhan,ASF
 Spain and Canary Islands ,Asturias,OVD
 Paraguay ,Asuncion,ASU
 Egypt ,Aswan,ASW
 Yemen ,Ataq,AXK
 GA ,Athens,AHN
 Greece ,Athens,ATH
 Cook Islands ,Atiu Island,AIU
 AK ,Atka,AKB
 GA ,Atlanta,ATL
 NJ ,Atlantic City,AIY
 Solomon Islands ,Atoifi,ATD
 AK ,Atqasuk,ATK
 ON ,Attawapiskat,YAT
 French Polynesia ,Atuona,AUQ
 Kazakhstan ,Atyrau,GUW
 New Zealand ,Auckland,AKL
 Germany ,Augsburg/Munich,AGB
 GA ,Augusta,AGS
 ME ,Augusta,AUG
 Solomon Islands ,Auki,AKS
 QC ,Aupaluk,YPJ
 Marshall Islands ,Aur Island,AUL
 India ,Aurangabad,IXU
 France ,Aurillac,AUR
 Australia ,Aurukun,AUU
 TX ,Austin,AUS
 France ,Avignon,AVN
 Indonesia ,Ayawaki,AYW
 Australia ,Ayers Rock,AYQ
 Indonesia ,Babo,BXB
 Philippines ,Bacolod,BCD
 Spain ,Badajcz,BJZ
 Indonesia ,Bade,BXD
 Australia ,Badu Island,BDD
 India ,Bagdogra,IXB
 QC ,Bagotville,YBG
 Ethiopia ,Baharpar,BJR
 Pakistan ,Bahawalpur,BHV
 Argentina ,Bahia Blanca,BHI
 Panama ,Bahia Pinas,BFQ
 Colombia ,Bahia Solano,BSC
 Bahrain ,Bahrain,BAH
 Romania ,Baia Mare,BAY
 QC ,Baie Comeau,YBC
 Papua New Guinea ,Baimuru,VMU
 NU ,Baker Lake,YBK
 CA ,Bakersfield,BFL
 Azerbaijan ,Baku,GYD
 Solomon Islands ,Balalae,BAS
 Turkey ,Balikesir,BZI
 Indonesia ,Balikpapan,BPN
 Papua New Guinea ,Balimo,OPU
 Australia ,Ballina,BNK
 Chile ,Balmaceda,BBA
 MD ,Baltimore,BWI
 Iran ,Bam,BXR
 Australia ,Bamaga,ABM
 Mali ,Bamako,BKO
 Indonesia ,Banda Aceh,BTJ
 Iran ,Bandar Abbas,BND
 Indonesia - Branti ,Bandar Lampung,TKG
 Iran ,Bandar Lengeh,BDH
 Brunei ,Bandar Seri Begawan,BWN
 Indonesia ,Bandung,BDO
 India ,Bangalore,BLR
 China ,Bangda,BPX
 Thailand ,Bangkok,BKK
 ME ,Bangor,BGR
 Bosnia Herzegovina ,Banja Luka,BNX
 Indonesia ,Banjarmasin,BDJ
 Gambia ,Banjul,BJL
 Viet Nam - Phung-Doc ,Banmethuot,BMV
 Pakistan ,Bannu,BNP
 Central African Republic ,Banqui,BGF
 China ,Baoshan,BSD
 China ,Baotou,BAV
 ME ,Bar Harbour,BHB
 Cuba ,Baracoa,BCA
 Australia ,Barcaldine,BCI
 Spain ,Barcelona,BCN
 Venezuela ,Barcelona,BLA
 Norway ,Bardufoss,BDU
 Italy ,Bari,BRI
 Venezuela ,Barinas,BNS
 Malaysia ,Bario,BBN
 Bangladesh ,Barisal,BZL
 Russia ,Barnaul,BAX
 Venezuela ,Barquisimeto,BRM
 Costa Rica ,Barra Colorado,BCL
 United Kingdom ,Barra,BRR
 Colombia ,Barran Cabermeja,EJA
 Colombia ,Barranquilla,BAQ
 Brazil ,Barreiras,BRA
 AK ,Barrow,BRW
 AK ,Barter Island,BTI
 Philippines ,Basco,BSO
 Switzerland ,Basel,BSL
 Switzerland ,Basel/Mulhouse Railway Station,ZDH
 Iran ,Bashehr,BUZ
 France ,Bastia,BIA
 Indonesia ,Batam,BTH
 NB ,Bathhurst,ZBF
 Australia ,Bathurst Island,BRT
 Australia ,Bathurst,BHS
 Turkey ,Batman,BAL
 Algeria ,Batna,BLJ
 Indonesia ,Batom,BXM
 LA ,Baton Rouge,BTR
 Norway ,Batsfijord,BJF
 Cambodia ,Battambang,BBM
 Georgia ,Batumi,BUS
 Solomon Islands ,Batuna,BPF
 Brazil ,Bauru,BAU
 MI ,Bay City,MBS
 Cuba ,Bayamo,BYM
 Germany ,Bayreuth,BYU
 ON ,Bearskin Lake,XBE
 TX ,Beaumont/Port Arthur,BPT
 CO - Van service ,Beaver Creek,ZBV
 AK ,Beaver,WBQ
 Algeria ,Bechar,CBH
 WV ,Beckley,BKW
 MA ,Bedford,BED
 Australia ,Bedourie,BEU
 British Virgin Islands ,Beef Island,EIS
 Ethiopia ,Beica,BEI
 Libya - La Braq ,Beida,LAQ
 China ,Beihai,BHY
 China ,Beijing,PEK
 Mozambique ,Beira,BEW
 Lebanon ,Beirut,BEY
 Algeria ,Bejaia,BJA
 Mozambique ,Belaga,BLG
 Brazil ,Belem,BEL
 New Caledonia ,Belep Island,BMY
 United Kingdom ,Belfast,BFS
 United Kingdom ,Belfast,BHD
 Russia ,Belgorod,EGO
 Serbia and Montenegro - Beograd ,Belgrade,BEG
 Belize - International ,Belize City,BZE
 Belize - Municipal ,Belize City,TZA
 BC ,Bella Bella,ZEL
 BC ,Bella Coola,QBC
 IL ,Belleville,BLV
 ON - Rail service ,Belleville,XVV
 WA ,Bellingham,BLI
 Solomon Islands ,Bellona,BNY
 Brazil - Pampulha ,Belo Horizonte,PLU
 Brazil - Tancredo Neves Intl. ,Belo Horizonte,CNF
 Madagascar ,Belo,BMD
 MN ,Bemidji,BJI
 United Kingdom ,Benbecula,BEB
 Libya ,Benghazi,BEN
 Indonesia ,Bengkulu,BKS
 MI ,Benton Harbor,BEH
 Indonesia ,Berau,BEJ
 Somalia ,Berbera,BBO
 MB ,Berens River,YBV
 Norway ,Bergen,BGO
 France ,Bergerac,EGC
 Norway ,Berlevag,BVG
 Germany - All airports ,Berlin,BER
 Germany - Schoenefeld ,Berlin,SXF
 Germany - Tegel ,Berlin,TXL
 Germany - Tempelhof ,Berlin,THF
 Bermuda ,Bermuda,BDA
 Switzerland - Belp Airport ,Berne,BRN
 Switzerland - Rail service ,Berne,ZDJ
 Madagascar ,Besalampy,BPY
 AK ,Bethel,BET
 PA ,Bethlehem,ABE
 AK ,Bettles,BTT
 France ,Beziers,BZR
 Nepal ,Bhadrapur,BDP
 Nepal ,Bhairawa,BWA
 Myanmar ,Bhamo,BMO
 Nepal ,Bharatpur,BHR
 India ,Bhavnagar,BHU
 India ,Bhopal,BHO
 India ,Bhubaneswar,BBI
 India ,Bhuj,BHJ
 Indonesia ,Biak,BIK
 France ,Biarritz,BIQ
 ON ,Big Trout,YTL
 Marshall Islands ,Bikini Atoll,BII
 Spain ,Bilbao,BIO
 MT ,Billings,BIL
 Denmark ,Billund,BLL
 MS ,Biloxi/Gulfport,GPT
 Indonesia ,Bima,BMU
 Bahamas ,Bimini,BIM
 Bahamas ,Bimini,NSB
 NY ,Binghamton,BGM
 Malaysia ,Bintulu,BTU
 Indonesia ,Bintuni,NTI
 Nepal ,Biratragar,BIR
 AK ,Birch Creek,KBC
 Australia ,Birdsville,BVI
 AL ,Birmingham,BHM
 United Kingdom ,Birmingham,BHX
 Saudi Arabia ,Bisha,BHH
 Kyrgyzstan ,Bishkek,FRU
 Algeria ,Biskra,BSK
 ND ,Bismarck,BIS
 Guinea-Bissau ,Bissau,OXB
 NL ,Black Tickle,YBI
 Australia ,Blackall,BKQ
 United Kingdom ,Blackpool,BLK
 Australia ,Blackwater,BLT
 Russia ,Blagoveschensk,BQS
 QC ,Blanc Sablon,YBX
 Malawi ,Blantyre,BLZ
 New Zealand ,Blenheim,BHE
 Brazil ,Blo Horizonte,CNF
 RI ,Block Island,BID
 South Africa ,Bloemfontein,BFN
 IL ,Bloomington,BMI
 WV ,Bluefield,BLF
 Cape Verde ,Boa Vista,BVC
 Papua New Guinea ,Boang,BOV
 Brazil ,Boavista,BVB
 Panama ,Bocas Del Toro,BOC
 Norway ,Bodo,BOO
 Turkey ,Bodrum,BJV
 Colombia ,Bogota,BOG
 Australia ,Boiju Island,GIC
 ID ,Boise,BOI
 Iran ,Bojnord,BJB
 Indonesia ,Bokondini,BUI
 Croatia ,Bol,BWK
 Italy ,Bolzano,BZO
 Congo ,Boma,BOA
 India ,Bombay,BOM
 Netherlands Antilles ,Bonaire,BON
 QC ,Bonaventure,YVB
 Germany ,Bonn,BNJ
 French Polynesia ,Bora Bora,BOB
 France ,Bordeaux,BOD
 Egypt ,Borg El Arab,HBE
 Germany ,Borkum,BMK
 Sweden ,Borlange,BLE
 Denmark ,Bornholm,RNN
 Australia ,Borroloola,BOX
 Somalia ,Bossaro,BSA
 MA ,Boston,BOS
 CO - Bus service ,Boulder,XHH
 CO - Hiltons Har H ,Boulder,WHH
 CO - Municipal Airport ,Boulder,WBU
 Australia ,Boulia,BQL
 AK ,Boundary,BYA
 Bulgaria ,Bourgas,BOJ
 Australia ,Bourke,BRK
 United Kingdom ,Bournemouth,BOH
 KY ,Bowling Green,BWG
 MT ,Bozeman,BZN
 Libya ,Brack,BCQ
 PA ,Bradford,BFD
 MN ,Brainerd,BRD
 Australia ,Brampton Island,BMP
 ON - Rail service ,Brampton,XPN
 MB ,Brandon,YBR
 ON - Rail service ,Brantford,XFV
 Brazil ,Brasilia,BSB
 Slovakia ,Bratislava,BTS
 Russia ,Bratsk,BTK
 Denmark ,Braunschweig,BWE
 TX ,Brawnwood,BWD
 Congo ,Brazzaville,BZV
 CO - Van service ,Breckenridge,QKB
 Germany ,Bremen,BRE
 France ,Brest,BES
 Australia ,Brewarrina,BWQ
 Barbados ,Bridgetown,BGI
 Italy ,Brindisi,BDS
 Australia ,Brisbane,BNE
 United Kingdom ,Bristol,BRS
 VA ,Bristol,TRI
 France - Laroche,Brive-La-Gaillarde,BVE
 Czech Republic - Bus service ,Brno,ZDN
 Czech Republic - Turany ,Brno,BRQ
 MB ,Brochet,YBT
 ON ,Brockville,XBR
 Australia ,Broken Hill,BHQ
 Norway ,Bronnoysund,BNN
 SD ,Brookings,BKX
 AK ,Brooks Lodge,RBH
 Australia ,Broome,BME
 TX ,Brownsville,BRO
 GA ,Brunswick,BQK
 Honduras ,Brus Laguna,BHG
 Belgium - National ,Brussels,BRU
 Belgium - Rail service ,Brussels,ZYR
 Belguim - Charleroi ,Brussels,CRL
 Colombia ,Bucaramanga,BGA
 Romania - Baneasa ,Bucharest,BBU
 Romania - Otopeni International ,Bucharest,OTP
 AK ,Buckland,BKC
 Hungary ,Budapest,BUD
 Argentina - Jorge Newbery ,Buenos Aires,AEP
 Argentina - Ministro Pistarini ,Buenos Aires,EZE
 NY ,Buffalo,BUF
 Russia ,Bugulma,UUA
 Burundi ,Bujumbura,BJM
 Papua New Guinea ,Buka,BUA
 Uzbekistan ,Bukhara,BHK
 Malaysia ,Bukoba,BKZ
 Zimbabwe ,Bulawayo,BUQ
 Russia ,Bulgulma,UUA
 AZ ,Bullhead City/Laughlin,IFP
 Australia ,Bundaberg,BDB
 Papua New Guinea ,Bunsil,BXZ
 Somalia ,Burao,BUO
 CA ,Burbank,BUR
 Fiji ,Bureta,LEV
 Thailand ,Buri Ram,BFV
 Australia ,Burketown,BUC
 IA ,Burlington,BRL
 VT ,Burlington,BTV
 Australia ,Burnie,BWT
 BC ,Burns Lake,YPZ
 South Korea - Gimhae ,Busan,PUS
 MT ,Butte,BTM
 Philippines ,Butuan,BXU
 Poland ,Bydgoszcz,BZG
 Mexico ,Cabo San Lucas,SJD
 France ,Caen,CFR
 Philippines - Lumbia ,Cagayan De Oro,CGY
 Italy ,Cagliari,CAG
 Australia ,Cairns,CNS
 Egypt ,Cairo,CAI
 Peru ,Cajamarca,CJA
 Nigeria ,Calabar,CBQ
 Chile ,Calama,CJC
 India ,Calcutta,CCU
 AB ,Calgary,YYC
 Colombia ,Cali,CLO
 France ,Calvi,CLY
 Cuba ,Camaguey,CMW
 NU ,Cambridge Bay,YCB
 United Kingdom ,Cambridge,CBG
 Argentina ,Camodoro,CRD
 BC ,Campbell River,YBL
 NB - Rail service ,Campbellton,XAZ
 United Kingdom ,Campbeltown,CAL
 Mexico ,Campeche,CPE
 Brazil ,Campina Grande,CPV
 Brazil ,Campinas,CPQ
 Brazil ,Campo Grande,CGR
 Brazil ,Campos,CAW
 Venezuela ,Canaima,CAS
 Australia ,Canberra,CBR
 Mexico ,Cancun,CUN
 France - Coisette Heliport ,Cannes,JCA
 France - Mandelieu ,Cannes,CEQ
 France - Vieux Port ,Cannes,QYW
 Saint Vincent and the Grenadines ,Canouan,CIW
 OH ,Canton/Akron,CAK
 Haiti ,Cap Haitien,CAP
 NU ,Cape Dorset,YTE
 MO ,Cape Girardeau,CGI
 AK ,Cape Lisburne,LUR
 AK ,Cape Newenham,EHM
 Papua New Guinea ,Cape Orford,CPI
 South Africa ,Cape Town,CPT
 Papua New Guinea ,Cape Vogel,CVL
 ON - Rail service ,Capreol,XAW
 Venezuela ,Caracas,CCS
 Brazil ,Carajas,CKS
 IL ,Carbondale,MDH
 France ,Carcassonne,CCF
 United Kingdom ,Cardiff,CWL
 CA ,Carlsbad,CLD
 NM ,Carlsbad,CNM
 CA ,Carmel,MRY
 Australia ,Carnarvon,CVQ
 Costa Rica ,Carrillo,RIK
 Colombia ,Cartagena,CTG
 NL ,Cartwright,YRF
 Venezuela ,Carupani,CUP
 Morocco - Anfa ,Casablanca,CAS
 Morocco - Mohamed V ,Casablanca,CMN
 Brazil ,Cascavel,CAC
 Australia ,Casino,CSI
 WY ,Casper,CPR
 ON - Rail service ,Casselman,XZB
 Fiji ,Castaway,CST
 BC ,Castlegar,YCG
 France ,Castres,DCM
 ON ,Cat Lake,YAC
 Argentina ,Catamarca,CTC
 Italy ,Catania,CTA
 Colombia ,Caucasia,CAQ
 Brazil ,Caxias Do Sul,CXJ
 French Guiana ,Cayenne,CAY
 Cambodia ,Cayman Brac Is,CYB
 Cuba ,Cayo Largo Del Sur,CYO
 Philippines - Matan International ,Cebu,CEB
 UT ,Cedar City,CDC
 IA ,Cedar Rapids,CID
 Australia ,Cedun,CED
 AK ,Central,CEM
 Spain and Canary Islands ,Ceuta,JCU
 NE ,Chadron,CDR
 Iran ,Chah-Bahar,ZBR
 AK ,Chalkyitsik,CIK
 France ,Chambery,CMF
 QC - Rail service ,Chambord,XCI
 IL ,Champaign/Urbana,CMI
 India ,Chandigarh,IXC
 QC - Rail service ,Chandler,XDL
 China ,Changchun,CGQ
 China ,Changde,CGD
 Panama ,Changuinda,CHX
 China ,Changzhou,CZX
 Greece ,Chania,CHQ
 China ,Chaoyang,CHG
 Brazil ,Chapeco,XAP
 ON ,Chapleau,YLD
 SC ,Charleston,CHS
 WV ,Charleston,CRW
 Australia ,Charleville,CTL
 NC ,Charlotte,CLT
 VA ,Charlottesville,CHO
 NL ,Charlottetown,YHG
 PE ,Charlottetown,YYG
 New Zealand ,Chatham Island,CHT
 ON ,Chatham,XCM
 TN ,Chattanooga,CHA
 Russia ,Cheboksary,CSY
 AK ,Chefornak,CYF
 Russia ,Chelybinsk,CEK
 BC - Rail service ,Chemainus,XHS
 India ,Chennai,MAA
 South Korea ,Cheongju,CJJ
 Russia ,Cherepovets,CEE
 China ,Chergdu,CTU
 United Kingdom ,Chester,CEG
 NU ,Chesterfield Inlet,YCS
 Mexico ,Chetumal,CTM
 AK ,Chevak,VAK
 Russia ,Chevepovets,CEE
 QC ,Chevery,YHR
 WY ,Cheyenne,CYS
 Taiwan ,Chi Mei,CMJ
 Thailand ,Chiang Mai,CNX
 Thailand ,Chiang Rai,CEI
 Taiwan ,Chiayi,CYI
 QC ,Chibougamau,YMT
 IL - All airports ,Chicago,CHI
 IL - Midway ,Chicago,MDW
 IL - O'Hare ,Chicago,ORD
 Peru ,Chicayo,CIX
 AK ,Chicken,CKX
 CA ,Chico,CIC
 China ,Chifeng,CIF
 AK - ,Chignik,KCQ
 AK - Fisheries ,Chignik,KCG
 AK - Lagoon ,Chignik,KCL
 Mexico ,Chihuahua,CUU
 Chile ,Chillan,YAI
 Zambia ,Chipata,CIP
 AK ,Chisana,CZN
 QC ,Chisasibi,YKU
 MN ,Chisholm/Hibbing,HIB
 Republic of Moldova ,Chisinau,KIV
 Russia ,Chita,HTA
 Pakistan ,Chitral,CJL
 Panama ,Chitre,CTD
 Bangladesh ,Chittagong,CGP
 Solomon Islands ,Choiseul Bay,CHY
 China ,Chongqing,CKG
 New Zealand ,Christchurch,CHC
 Christmas Island ,Christmas Island,XCH
 AK ,Chuathbaluk,CHU
 NL ,Churchill Falls,ZUM
 MB ,Churchill,YYQ
 MB - Rail service ,Churchill,XAD
 Fiji ,Cicia,ICI
 Cuba ,Ciego De Avila,AVI
 OH ,Cincinnati,CVG
 AK ,Circle Hot Springs,CHP
 AK ,Circle,IRC
 Venezuela ,Ciudad Bolivar,CBL
 Mexico ,Ciudad Del Carmen,CME
 Paraguay ,Ciudad del Este,AGT
 Mexico ,Ciudad Juarez,CJS
 Mexico ,Ciudad Obregon,CEN
 Mexico ,Ciudad Victoria,CVM
 AK ,Clarks Point,CLP
 WV ,Clarksburg,CKB
 FL ,Clearwater/St Petersburg,PIE
 France ,Clermont-ferrand,CFE
 Australia ,Cleve,CVC
 OH ,Cleveland,CLE
 Australia ,Cloncurry,CNJ
 NM ,Clovis,CVN
 Malawi ,Club Makokola,CMK
 Romania ,Cluj,CLJ
 NU ,Clyde River,YCY
 Australia ,Cobar,CAZ
 Bolivia ,Cobija,CIJ
 ON - Rail service ,Cobourg,XGJ
 Bolivia ,Cochabamba,CBB
 India ,Cochin,COK
 Australia ,Coconut Island,CNC
 Cocos ,Cocos Islands,Keeling
 WY ,Cody/Yellowstone,COD
 Australia ,Coen,CUQ
 AK ,Coffee Point,CFA
 AK ,Coffman Cove,KCC
 Australia ,Coffs Harbor,CFS
 India ,Coimbatore,CJB
 AK ,Cold Bay,CDB
 Mexico ,Colima,CLQ
 TX ,College Station,CLL
 Germany - Cologne/Bonn ,Cologne,CGN
 Germany - Rail service ,Cologne,QKL
 Sri Lanka ,Colombo,CMB
 Panama ,Colon,ONX
 CO ,Colorado Springs,COS
 MO ,Columbia,COU
 SC ,Columbia,CAE
 GA ,Columbus,CSG
 MS ,Columbus,GTR
 OH ,Columbus,CMH
 NT ,Colville Lake,YCK
 BC ,Comox,YQQ
 Guinea ,Conakry,CKY
 Chile ,Concepcion,CCP
 CA ,Concord,CCR
 Argentina ,Concordia,COC
 KS ,Concordia,CNK
