Country,City,Code
 Algeria ,Jijel,GJL
 Ethiopia ,Jijiga,JIJ
 Ethiopia ,Jimma,JIM
 China ,Jinan,TNA
 China ,Jingdezhen,JDZ
 China ,Jinghong,JHG
 Uganda ,Jinja,JIN
 China ,Jinjiang,JJN
 South Korea - Sancheon ,Jinju,HIN
 Ethiopia ,Jinka,BCO
 China ,Jinzhou,JNZ
 Brazil ,Ji-Parana,JPR
 Pakistan ,Jiwani,JIW
 Brazil ,Joao Pessoa,JPA
 India ,Jodhpur,JDH
 Finland ,Joensuu,JOE
 South Africa ,Johannesburg,JNB
 NY ,Johnson City,BGM
 TN ,Johnson City,TRI
 US Minor Outlying Islands ,Johnston Island,JON
 PA ,Johnstown,JST
 Malaysia ,Johor,JHB
 Brazil ,Joinville,JOI
 QC - Rail service ,Joliette,XJL
 India ,Jommu,IXJ
 Nepal ,Jomsom,JMO
 AR ,Jonesboro,JBR
 Sweden ,Jonkoping,JKG
 QC - Rail service ,Jonquiere,XJQ
 MO ,Joplin,JLN
 India ,Jorhat,JRH
 Argentina ,Jose De San Martin,JSM
 Saudi Arabia ,Jouf,AJF
 Brazil ,Juazeiro Do Norte,JDO
 Germany ,Juist,JUI
 Brazil ,Juiz De Fora,JDF
 Argentina ,Jujuy,JUJ
 Australia ,Julia Creek,JCK
 Peru ,Juliaca,JUL
 AK ,Juneau,JNU
 China ,Juzha,JUZ
 Finland ,Jyvaskyla,JYV
 Maldives ,Kaadedhdhoo,KDM
 Marshall Islands ,Kaben,KBT
 Ethiopia ,Kabri Dar,ABK
 Afghanistan ,Kabul,KBL
 Papua New Guinea ,Kabwun,KBM
 Pakistan ,Kadanwari,KCF
 Maldives ,Kadhonoo,KDO
 Turkey ,Kahramanmaras,KCM
 HI - Island of Maui,Kahului,OGG
 Papua New Guinea ,Kaintiba,KZF
 New Zealand ,Kaitaia,KAT
 Finland ,Kajaani,KAJ
 AK ,Kake,KAE
 AK ,Kakhonak,KNK
 MI ,Kalamazoo,AZO
 HI - Island of Molokai,Kalaupapa,LUP
 Australia ,Kalbarri,KAX
 Russia ,Kaliningrad,KGD
 AK ,Kalskag,KLG
 AK ,Kaltag,KAL
 Indonesia ,Kambuaya,KBX
 Syrian Arab Republic ,Kameshli,KAC
 BC ,Kamloops,YKA
 HI - Island of Hawaii,Kamuela,MUE
 Indonesia ,Kamur,KCD
 Papua New Guinea ,Kamusi,KUY
 QC ,Kangiqsualujjuaq,XGR
 QC ,Kangiqsujuaq,YWB
 QC ,Kangirsuk,YKG
 Nigeria ,Kano,KAN
 MO ,Kansas City,MCI
 HI - Island of Maui,Kapalua,JHM
 ON ,Kapuskasing,YYU
 Pakistan - Quaid-E-Azam International ,Karachi,KHI
 Estonia ,Kardia,KDL
 Zimbabwe ,Kariba,KAB
 Germany ,Karlsruhe/Badern Baden,FKB
 Greece ,Karpathos,AOK
 Indonesia ,Karubaga,KBF
 AK ,Kasaan,KXA
 Zambia ,Kasaba Bay,ZKB
 ON ,Kasabonika,XKS
 Zambia ,Kasama,KAA
 Botswana ,Kasane,BBK
 ON ,Kaschechewan,ZKE
 AK ,Kasigluk,KUK
 Australia ,Katherine,KTR
 Nepal ,Kathmandu,KTM
 Poland ,Katowice,KTW
 HI ,Kauai Island/Lihue,LIH
 Lithuania ,Kaunas,KUN
 Greece ,Kavala,KVA
 Papua New Guinea ,Kavieng,KVG
 Myanmar ,Kawthaung,KAW
 Turkey ,Kayseri,ASR
 Russia ,Kazan,KZN
 NE ,Kearney,EAR
 NH ,Keene,EEN
 ON ,Keewaywin,KEW
 Greece ,Kefallinia,EFL
 QC ,Kegaska,ZKG
 BC ,Kelowna,YLW
 AK ,Kenai,ENA
 Indonesia ,Kendari,KDI
 ON ,Kenora,YQK
 Greece ,Kerkyra,CFU
 AK ,Ketchikan,KTN
 FL ,Key West,EYW
 CO - Van service ,Keystone,QKS
 India ,Khajuraho,HJR
 Egypt ,Kharga,UVL
 Ukraine ,Kharkov,HRK
 Tajikistan ,Khudzhand,LBD
 Pakistan ,Khuzdar,KDD
 AK ,Kiana,IAN
 Ukraine - Borispol ,Kiev,KBP
 Ukraine - Zhulhany ,Kiev,IEV
 Rwanda ,Kigali,KGL
 Tanzania ,Kigoma,TKQ
 TX ,Kilgore/Gladewater,GGG
 Tanzania ,Kilimanjaro,JRO
 TX ,Killeen,ILE
,Kimmirut/Lake Harbour NU ,YLC
 Canada ,Kimmirut/Lake Harbour,YLC
 AK ,King Cove,KVC
 AK ,King Salmon,AKN
 ON ,Kingfisher Lake,KIF
 AZ ,Kingman,IGM
 TN ,Kingsport,TRI
 Jamaica - Norman Manley ,Kingston,KIN
 Jamaica - Tinson ,Kingston,KTP
 ON - Norman Rogers Airport ,Kingston,YGK
 ON - Rail service ,Kingston,XEG
 Congo ,Kinshasa,FIH
 AK ,Kipnuk,KPN
 Solomon Islands ,Kirakira,IRA
 MO ,Kirksville,IRK
 Japan ,Kitadaito,KTD
 ON ,Kitchener,YKF
 Finland ,Kittila,KTT
 Papua New Guinea ,Kiunga,UNG
 AK ,Kivalina,KVL
 Kenya ,Kiwayu,KWY
 OR ,Klamath Falls,LMT
 AK ,Klawock,KLW
 BC ,Klemtu,YKT
 Ireland ,Knock,NOC
 TN ,Knoxville,TYS
 AK ,Kobuk,OBU
 Japan ,Kochi,KCZ
 AK ,Kodiak,ADQ
 Thailand ,Koh Samui,USM
 India ,Kolkata,CCU
 Poland ,Kolobrzeg,QJY
 Russia ,Komsomolsk Na Amure,KXK
 HI - Island of Hawaii ,Kona,KOA
 AK ,Kongiganak,KKH
 Turkey ,Konya,KYA
 Palau ,Koror,ROR
 Poland ,Koszalin,OSZ
 Malaysia ,Kota Bharu,KBR
 Malaysia ,Kota Kinabalu,BKI
 AK ,Kotlik,KOT
 AK ,Kotzebue,OTZ
 Australia,Kowanyama,KWM
 AK ,Koyukuk,KYU
 India ,Kozhikode,CCJ
 Thailand ,Krabi,KBV
 Poland ,Krakow,KRK
 Ukraine ,Krivoy Rog,KWG
 Malaysia ,Kuala Lumpur,KUL
 Malaysia ,Kuala Terengganu,TGG
 Malaysia ,Kuantan,KUA
 Australia,Kubin Island,KUG
 Malaysia ,Kuching,KCH
 Malaysia ,Kudat,KUD
 Libya ,Kufrah,AKF
 NU ,Kugaaruk,YBB
 NU ,Kugluktuk/Coppermine,YCO
 Greenland ,Kulusuk,KUS
 Japan ,Kumejima,UEO
 Papau New Guinea ,Kundiawa,CMU
 Finland ,Kuopio,KUO
 Papua New Guinea ,Kuri,KUQ
 Japan ,Kushiro,KUH
 Georgia ,Kutaisi,KUT
 QC ,Kuujjuaq,YVP
 QC ,Kuujjuarapik,YGW
 Finland ,Kuusamo,KAO
 Kuwait ,Kuwait,KWI
 Marshall Islands ,Kwajalein,KWA
 AK ,Kwethluk,KWT
 AK ,Kwigillingok,KWK
 Russia ,Kyzyl,KYZ
 Honduras ,La Ceiba,LCE
 Spain ,La Coruna,LCG
 WI ,La Crosse,LSE
 QC ,La Grande,YGL
 Panama ,La Palma,PLP
 Bolivia ,La Paz,LPB
 Mexico ,La Paz,LAP
 Argentina ,La Rioja,IRJ
 Dominican Republic ,La Romana,LRM
 SK ,La Ronge,YVC
 Chile ,La Serena,LSC
 QC ,La Tabatiere,ZLT
 QC ,La Tuque,YLQ
 Morocco ,Laayoune,EUN
 Fiji ,Labasa,LBS
 Papua New Guinea ,Lablab,LAB
 Indonesia ,Labuan Bajo,LBJ
 Malaysia ,Labuan,LBU
 MB ,Lac Brochet,XLB
 QC - Rail service ,Lac Edouard,XEE
 BC - Rail service ,Ladysmith,XEH
 Marshall Islands ,Lae Island,LML
 Papua New Guinea ,Lae,LAE
 IN ,Lafayette,LAF
 LA ,Lafayette,LFT
 Brazil ,Lages,LAJ
 Ecuador ,Lago Agrio,LGQ
 Argentina ,Lago Argentina,ING
 Nigeria ,Lagos,LOS
 Malaysia ,Lahadbatu,LDU
 Pakistan ,Lahore,LHE
 LA ,Lake Charles,LCH
 AZ ,Lake Havasu City,HII
 AK ,Lake Minchumina,LMA
 Fiji ,Lakeba,LKB
 Norway ,Lakselv,LKL
 Ethiopia ,Lalibela,LLI
 Vanuatu ,Lamap,LPM
 Vanuatu ,Lamen Bay,LNB
 Italy ,Lamezia-Terme,SUF
 Thailand ,Lampang,LPI
 Italy ,Lampedusa,LMP
 Kenya ,Lamu,LAU
 HI - Island of Lanai ,Lanai City,LNY
 PA ,Lancaster,LNS
 United Kingdom ,Lands End,LEQ
 BC - Rail service ,Langford,XEJ
 Indonesia ,Langguri,LUV
 Malaysia ,Langkawi,LGK
 France ,Lannion,LAI
 ON ,Lansdowne House,YLH
 MI ,Lansing,LAN
 Spain ,Lanzarote,ACE
 Guinea ,Lanzhau,LHW
 China ,Lanzhou,ZGC
 Philippines ,Laoag,LAO
 Finland ,Lappeenranta,LPP
 WY ,Laramie,LAR
 Indonesia ,Larantuka,LKA
 TX ,Laredo,LRD
 Cyprus ,Larnaca,LCA
 France ,Larochelle,LRH
 Spain ,Las Palmas,LPA
 Venezuela ,Las Piedras,LSP
 NV ,Las Vegas,LAS
 Syria ,Latakia,LTK
 PA ,Latrobe,LBE
 Fiji ,Laucala Island,LUC
 Australia ,Launceston,LST
 MS ,Laurel,PIB
 Australia ,Laverton,LVO
 Malaysia ,Lawas,LWY
 OK ,Lawton,LAW
 France ,Le Havre,LEH
 France ,Le Mans,ZLN
 France ,Le Puy,LPY
 France ,Le Touquet,LTQ
 MB ,Leaf Rapids,YLR
 Australia ,Learmonth,LEA
 NH ,Lebanon,LEB
 United Kingdom ,Leeds,LBA
 Philippines ,Legaspi,LGP
 India ,Leh,IXL
 Australia ,Leinster,LER
 Germany ,Leipzig,LEJ
 Norway ,Leknes,LKN
 Greece ,Lemnos,LXS
 Mexico ,Leon,BJX
 Australia ,Leonora,LNO
 AB ,Lethbridge,YQL
 Colombia ,Leticia,LET
 AK ,Levelock,KLL
 WV ,Lewisburg,LWB
 ID ,Lewiston,LWS
 MT ,Lewistown,LWT
 KY ,Lexington,LEX
 China ,Lhasa,LXA
 China ,Lianyungang,LYG
 KS ,Liberal,LBL
 Costa Rica ,Liberia,LIR
 Gabon ,Libreville,LBV
 Mozambique ,Lichinga,VXC
 Belgium ,Liege,LGG
 New Caledonia ,Lifa,LIF
 Australia ,Lightning Ridge,LHG
 Papua New Guinea ,Lihir Island,LNV
 HI - Island of Kaui ,Lihue,LIH
 China ,Lijiang City,LJG
 Marshall Islands ,Likiep Island,LIK
 France - Lesquin ,Lille,LIL
 France - Rail service ,Lille,XDB
 Malawi ,Lilongwe,LLW
 Peru ,Lima,LIM
 Malaysia ,Limbang,LMN
 France ,Limoges,LIG
 NE ,Lincoln,LNK
 Australia,Lindeman Island,LDC
 Tanzania ,Lindi,LDI
 Sweden ,Linkoping,LPI
 China ,Linyi,LYI
 Austria ,Linz,LNZ
 Portugal ,Lisbon,LIS
 Australia ,Lismore,LSY
 AR ,Little Rock,LIT
 China ,Liuzhou,LZH
 United Kingdom ,Liverpool,LPL
 Zambia ,Livingstone,LVI
 Australia,Lizard Island,LZR
 Slovenia ,Ljubliana,LJU
 AB ,Lloydminister,YLL
 Australia ,Lockhart River,IRG
 Marshall Islands ,Loen,LOF
 Ecuador ,Loja,LOH
 Togo ,Lome,LFW
 ON - Municipal Airport ,London,YXU
 ON - Rail service ,London,XDQ
 United Kingdom - All airports ,London,LON
 United Kingdom - Biggin Hill ,London,BQH
 United Kingdom - Gatwick ,London,LGW
 United Kingdom - Heathrow ,London,LHR
 United Kingdom - London City ,London,LCY
 United Kingdom - Luton ,London,LTN
 United Kingdom - Stansted ,London,STN
 United Kingdom ,Londonderry,LDY
 United Kingdom - Rail service ,London-Paddington,QQP
 Brazil ,Londrina,LDB
 Indonesia ,Long Apung,LPU
 Malaysia ,Long Banga,LBP
 Indonesia ,Long Bawan,LBW
 CA ,Long Beach,LGB
 Australia ,Long Island,HAP
 Bahamas ,Long Island/Deadmans Cay,LGI
 Malaysia ,Long Lellang,LGL
 Malaysia ,Long Seridan,ODN
 Vanuatu ,Longana,LOD
 Australia,Longreach,LRE
 TX ,Longview,GGG
 Svalbard & Jan Mayen Island ,Longyearbyen,LYR
 Vanuatu ,Lonorore,LNE
 WA ,Lopez Island,LPS
 Australia ,Lord Howe Island,LDH
 Mexico ,Loreto,LTO
 France ,Lorient,LRT
 CA ,Los Angeles,LAX
 Mexico ,Los Cabos,SJD
 Mexico ,Los Mochis,LMM
 Papua New Guinea ,Losuia,LSA
 KY ,Louisville,SDF
 France ,Lourdes/Tarbes,LDE
 CO - Bus service ,Loveland/Fort Collins,QWF
 CO - Municipal Airport ,Loveland/Fort Collins,FNL
 Mexico ,Lozaro Cardenas,LZC
 Angola ,Luanda,LAD
 Angola ,Luanda,LAD
 Laos ,Luang Namtha,LXG
 Laos ,Luang Prabang,LPQ
 TX ,Lubbock,LBB
 India ,Lucknow,LKO
 Namibia ,Luderitz,LUD
 Switzerland ,Lugano,LUG
 Uganda ,Lugansk,VSG
 Nepal ,Lukla,LUA
 Sweden ,Lulea,LLA
 Congo ,Lumbashi,FBM
 China ,Luoyang,LYA
 Zambia ,Lusaka,LUN
 NT ,Lutselke/Snowdrift,YSG
 Indonesia ,Luwuk,LUW
 Luxembourg ,Luxembourg,LUX
 China ,Luxi,LUM
 Egypt ,Luxor,LXR
 China ,Luzhou,LZO
 Ukraine ,Lvov,LWO
 Sweden ,Lyoksele,LYC
 France - Lyon Part-Dieu Rail service ,Lyon,XYD
 France - Satolas ,Lyon,LYS
 Netherlands ,Maastricht,MST
 Australia ,Mabuiag Island,UBB
 Brazil ,Macapa,MCP
 Ecuador ,Macas,XMS
 China ,Macau,MFM
 Brazil ,Maceio,MCZ
 Ecuador ,Machala,MCH
 Australia,Mackay,MKY
 GA ,Macon,MCN
 Papua New Guinea ,Madang,MAG
 Saudi Arabia ,Madinah,MED
 WI ,Madison,MSN
 OR ,Madras,MDJ
 Spain ,Madrid,MAD
 India ,Madurai,IXM
 Thailand ,Mae Hong Son,HGN
 Thailand ,Mae Sot,MAQ
 Vanuatu ,Maewo,MWF
 Tanzania ,Mafia,MFA
 Russia ,Magadan,GDX
 Russia ,Magnitogorsk,MQF
 Madagascar ,Mahanoro,VVB
 Seychelles ,Mahe Island,SEZ
 Madagascar ,Maintirano,MXT
 Cape Verde ,Maio,MMO
 Marshall Islands ,Majkin,MJE
 Madagascar ,Majunga,MJN
 Marshall Islands ,Majuro,MAJ
 Ethiopia ,Makale,MQX
 Russia ,Makhachkala,MCX
 Gabon ,Makokou,MKU
 Taiwan ,Makung,MZG
 Equatorial Guinea ,Malabo,SSG
 Malaysia ,Malacca,MKZ
 Spain ,Malaga,AGP
 Sudan ,Malakai,MAK
 Argentina ,Malargue,LGS
 Turkey ,Malatya,MLX
 Maldives ,Male,MLE
 Kenya ,Malindi,MYD
 Sweden ,Malmo,MMX
 Marshall Islands ,Maloelap Island,MAV
 Fiji ,Malololailai,PTF
 Malta ,Malta,MLA
 Madagascar ,Mampikony,WMP
 Fiji ,Mana Island,MNF
 Indonesia ,Manado,MDC
 Nicaragua ,Managua,MGA
 Madagascar ,Manakara,WVK
 Madagascar ,Mananara,WMR
 Nepal ,Manang,NGX
 Madagascar ,Mananjary,MNJ
 Brazil ,Manaus,MAO
 NH ,Manchester,MHT
 United Kingdom ,Manchester,MAN
 Myanmar ,Mandalay,MDL
 Madagascar ,Mandritsara,WMA
 Cook Islands ,Mangaia Island,MGS
 India ,Mangalore,IXE
 Bahamas ,Mangrove Cay,MAY
 Zambia ,Mangu,MNR
 Papua New Guinea ,Manguna,MFO
 KS ,Manhattan,MHK
 French Polynesia ,Manihi,XMH
 Cook Islands ,Manihiki Island,MHX
 Philippines ,Manila,MNL
 Australia ,Maningrioa,MNG
 MI ,Manistee,MBL
 Colombia ,Manizales,MZL
 Madagascar ,Manja,MJA
 MN ,Mankato,MKT
 AK ,Manley Hot Springs,MLY
 Germany ,Mannheim,MHG
 AK ,Manokotak,KMO
 Indonesia ,Manokwari,MKW
 United Kingdom ,Manston,MSE
 Ecuador ,Manta,MEC
 Papua New Guinea ,Manus Island,MAS
 Cuba ,Manzanillo,MZO
 Mexico ,Manzanillo,ZLO
 Swaziland ,Manzini,MTS
 Chad ,Mao,AMO
 Western Samoa ,Maota Savaii Is,MXS
 Mozambique ,Maputo,MPM
 Argentina ,Mar Del Plata,MDQ
 Kenya ,Mara Lodges,MRE
 Brazil ,Maraba,MAB
 Venezuela ,Maracaibo,MAR
 Venezuela ,Maracay,MYC
 New Caledonia ,Mare,MEE
 South Africa ,Margate,MGH
 Slovenia ,Maribor,MBX
 Finland ,Mariehamn,MHQ
 OH/Parkersburg,Marietta,PKB
 Greenland ,Mariitsoq,JSU
 Brazil ,Marilia,MII
 Brazil ,Maringa,MGF
 IL ,Marion,MWA
 Ukraine ,Mariupol,MPW
 Madagascar ,Maroantsetra,WMN
 Cameroon ,Marova,MVR
 MI ,Marquette,MQT
 France ,Marseille,MRS
 Bahamas ,Marsh Harbour,MHH
 AK ,Marshall,MLL
 MA ,Martha's Vineyard,MVY
 PA ,Martinsburg,AOO
 Malaysia ,Marudi,MUR
 Australia,Maryborough,MBH
 NL ,Mary's Harbour,YMH
 Philippines ,Masbate,MBT
 Lesotho ,Maseru,MSU
 Iran ,Mashad,MHD
 IA ,Mason City,MCW
 NY ,Massena,MSS
 Mexico ,Matamoros,MAM
 Indonesia ,Mataram,AMI
 Japan ,Matsumoto,MMJ
 Japan ,Matsuyama,MYJ
 Venezuela ,Maturin,MUN
 HI ,Maui,OGG
 Cook Islands ,Mauke Island,MUK
 Myanmar ,Maulmyine,MNU
 Indonesia ,Maumere,MOF
 Botswana ,Maun,MUB
 French Polynesia ,Maupiti,MAU
 Mauritius ,Mauritius,MRU
 ON - Rail service ,Maxville,XID
 Bahamas ,Mayaguana,MYG
 Puerto Rico ,Mayaguez,MAZ
 Mexico ,Mazatlan,MZT
 Congo ,Mbandaka,MDK
 Congo ,Mbuji Mayi,MJM
 TX ,Mcallen,MFE
 Australia ,Mcarthur River,MCV
 NE ,Mccook,MCK
 AK ,Mcgrath,MCG
 Indonesia ,Medan,MES
 Colombia - Enrique Olaya Herrera ,Medellin,EOH
 Colombia - Jose Marie Cordova ,Medellin,MDE
 OR ,Medford,MFR
 AB ,Medicine Hat,YXH
 Australia ,Meekatharra,MKR
 Norway ,Mehamn,MEH
 China ,Meixian,MXZ
 Marshall Islands ,Mejit Island,MJB
 Ethiopia ,Mekane Selam,MKS
 AK ,Mekoryuk,MYU
 FL ,Melbourne,MLB
 Australia ,Melbourne,MEL
 Spain ,Melilla,MLN
 SK - Rail service ,Melville,XEK
 Japan ,Memanbetsu,MMB
 TN ,Memphis,MEM
 Ethiopia ,Mendi,NDM
 Papua New Guinea ,Mendi,MDU
 Argentina ,Mendoza,MDZ
 Spain ,Menorca,MAH
 Papua New Guinea ,Menyamya,MYX
 Indonesia ,Merauke,MKQ
 Sudan ,Merave,MWE
 CA ,Merced,MCE
 Indonesia ,Merdey,RDE
 Mexico ,Merida,MID
 Venezuela ,Merida,MRD
 MS ,Meridian,MEI
 Australia ,Merimbula,MIM
 Egypt ,Mersa Matruh,MUH
 AK ,Metlakatla,MTM
 France ,Metz/Nancy,ETZ
 Mexico ,Mexicali,MXL
 Mexico ,Mexico City,MEX
 AK ,Meyers Chuck,WMK
 Zambia ,Mfume,MFU
 FL - International ,Miami,MIA
 FL - Sea Plane Base ,Miami,MPB
 Madagascar ,Miandrivazo,ZVA
 Turks and Caicos ,Middle Caicos,MDS
 MI ,Midland,MBS
 TX ,Midland/Odessa,MAF
 US Minor Outlying Islands ,Midway Island,MDY
 Finland ,Mikkeli,MIK
 Greece ,Mikonos,JMK
 Italy - Linate ,Milan,LIN
 Italy - Malpensa ,Milan,MXP
 Italy - Orio Al Serio ,Milan,BGY
 Italy - Parma ,Milan,PMF
 Australia ,Mildura,MQL
 MT ,Miles City,MLS
 Marshall Islands ,Mili Island,MIJ
 Australia ,Milingimbi,MGT
 WI ,Milwaukee,MKE
 Japan ,Minami Daito,MMD
 Mexico ,Minatitla,MTT
 Indonesia ,Mindiptana,MDP
 Russia ,Mineralnye Vody,MRV
 MN ,Minneapolis,MSP
 ND ,Minot,MOT
 Belarus - Minsk International 1 ,Minsk,MHP
 Belarus - Minsk International 2 ,Minsk,MSQ
 AK ,Minto,MNT
 NB - Rail service ,Miramichi,XEY
 Malaysia ,Miri,MYY
 Russia ,Mirnyj,MJZ
 Japan ,Misawa,MSJ
 Papua New Guinea ,Misima Island,MIS
 TX ,Mission,MFE
 MT ,Missoula,MSO
 Libya ,Misurata,MRA
 Cook Islands ,Mitiaro Island,MOI
 Japan ,MiyakeJima,MYE
 Japan ,Miyako Jima,MMY
 Ethiopia ,Mizan Teferi,MTF
 Norway ,Mo I Rana,MQN
 Cuba ,Moa,MOA
 UT ,Moab,CNY
 Fiji ,Moala,MFJ
 Indonesia ,Moanamani,ONI
 Congo ,Moanda,MNB
 Gabon ,Moanda,MFF
 AL ,Mobile,MOB
 CA ,Modesto,MOD
 Somalia ,Mogadishu,MGQ
 Denmark ,Mohenjodaro,MJD
 South Korea ,Mokpo,MPK
 Namibia ,Mokuti Lodge,OKU
 Norway ,Molde,MOL
 IL ,Moline,MLI
 Kenya ,Mombasa,MBA
 Tunisia ,Monastir,MIR
 Japan ,Monbetsu,MBE
 Mexico ,Monclova,LOV
 NB - Airport ,Moncton,YQM
 NB - Rail service ,Moncton,XDP
 Australia ,Monkey Mia,MJK
 Solomon Islands ,Mono,MNY
 LA ,Monroe,MLU
 Liberia ,Monrovia,ROB
 QC ,Mont Joli,YYY
 Monaco ,Monte Carlo,MCM
 Brazil ,Monte Dourado,MEU
 Jamaica ,Montego Bay,MBJ
 CA ,Monterey,MRY
 Colombia ,Monteria,MTR
 Mexico ,Monterrey,MTY
 Brazil ,Montes Claros,MOC
 Uruguay ,Montevideo,MVD
 AL ,Montgomery,MGM
 France ,Montpellier,MPL
 QC - all airports ,Montreal,YMQ
 QC - Dorval ,Montreal,YUL
 QC - Dorval Rail service ,Montreal,XAX
 QC - Downtown Rail service ,Montreal,YMY
 QC - Mirabel ,Montreal,YMX
 QC - St Lambert Rail service ,Montreal,XLM
 CO ,Montrose,MTJ
 Montserrat ,Montserrat,MNI
 French Polynesia ,Moorea,MOZ
 ON ,Moosonee,YMO
 Mali ,Mopti,MZI
 Sweden ,Mora,MXX
 Madagascar ,Morafenobe,TVA
 Madagascar ,Morambe,MXM
 Australia,Moranbah,MOV
 Australia ,Moree,MRZ
 Mexico ,Morelia,MLM
 WV ,Morgantown,MGW
 Japan ,Morioka,HNA
 Australia,Mornington,ONG
 Papua New Guinea ,Moro,MXH
 Madagascar ,Morondava,MOQ
 Comoros ,Moroni,HAH
 Australia ,Moruya,MYA
 Russia - all locations ,Moscow,MOW
 Russia - Bykovo ,Moscow,BKA
 Russia - Domodedovo ,Moscow,DME
 Russia - Sheremetyevo ,Moscow,SVO
 Russia - Vnukovo ,Moscow,VKO
 WA ,Moses Lake,MWH
 Norway ,Mosjoen,MJF
 Bosnia and Herzegovina ,Mostar,OMO
 Vanuatu ,Mota Lava,MTV
 Gabon ,Mouila,MJL
 New Zealand ,Mount Cook,MON
 Australia ,Mount Gambier,MGB
 Papua New Guinea ,Mount Hagen,HGU
 VI,Mount Hotham,MHU
 Australia ,Mount Isa,ISA
 Australia ,Mount Keith,WME
 Australia ,Mount Magnet,MMG
 Falkland Islands ,Mount Pleasant,MPN
 AR ,Mountain Home,WMH
 AK ,Mountain Village,MOU
 Namibia ,Mpacha,MPA
 Tanzania ,Mtwara,MYW
 Brazil ,Mucuri,MVS
 China ,Mudanjiang,MDG
 Australia ,Mudgee,DGE
 Germany ,Muenster,FMO
 Malaysia ,Mukan,MKM
 France ,Mulhouse,MLH
 Indonesia ,Mulia,LII
 Pakistan ,Multan,MUX
 Malaysia ,Mulu,MZV
 India ,Mumbai,BOM
 Solomon Islands ,Munda,MUA
 Germany ,Munich,MUC
 Spain ,Murcia,MJV
 Russia ,Murmansk,MMK
 Australia,Murray Island,MYI
 Turkey ,Mus,MSR
 Oman ,Muscat,MCT
 AL ,Muscle Shoals,MSL
 MI ,Muskegon,MKG
 ON ,Muskrat Dam,MSA
 Tanzania ,Musoma,MUZ
 Pakistan ,Muzaffarabad,MFG
 Tanzania ,Mwanza,MWZ
 Myanmar ,Myeik,MGZ
 Myanmar ,Myitkyina,MYT
 SC ,Myrtle Beach,MYR
 Greece ,Mytilene,MJT
 Malawi ,Mzuzu,ZZU
 Indonesia ,Nabire,NBX
 Mozambique ,Nacala,MNC
 Morocco ,Nadar,NDR
 Fiji ,Nadi,NAN
 Russia ,Nadym,NYM
 Philippines ,Naga,WNP
 Japan ,Nagasaki,NGS
 Japan - Chubu CentrAir Intl ,Nagoya,NGO
 Japan - Nagoya Komaki APT ,Nagoya,NGO
 India ,Nagpur,NAG
 NL ,Nain,YDP
